Input1,Input2,Input3,Input4,Input5,Input6,Input7,Output
Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Price/Sales,Price/Book,Price
9.49,1.6813145,9.24,86.68,61.45,1.201944,1.04,73.86
21.35,0,1.5,43.8599,27.85,1.723609,3.02,38.86
24.28,2.315954,6.83,361.79,256.4,1.8781451,45.55,334.3
15.99,4.5131636,1.93,53.59,45.01,1.5809761,0.85,46.05
23.87,1.6413131,3.46,108.98,70.76,1.5653384,14.1,95.01
10.35,3.264714,12.25,121.95,78.01,1.3037612,5.86,105.79
18.91,1.6218846,8.69,193.85,141.12,4.6277885,1.79,178.35
14.81,4.9177604,3.43,69.73,52.12,11.394877,2.24,58.36
7.67,6.098546,1.98,33.73,17.405,0.45503208,1.69,24
-32,1.2247398,-2.65,19.52,10.55,4.6578755,,15.68
16.06,2.8268552,6.85,73.53,47.39,0.42713487,2.43,62.79
32.73,0.9452879,2.67,149.21,85.3725,2.9997249,11.02,133.88
20.23,1.8257059,2.87,86.54,69.33,2.9848945,5.85,79.31
30.38,0.8042038,6.63,244.32,191.09,4.416998,3.03,208.42
22.12,0.98383695,1.47,46.445,31.29,2.308266,11.93,40.7
34.99,0.5926628,3.65,177.11,105.8,15.020556,26.93,160.62
-14.68,0,-3.06,26.3,12.71,1.1863722,3.87,16
23.91,2.0261056,3.73,109.67,90.25,2.7788277,5.2,101.36
23.83,2.437994,6.36,178.7,124.36,5.770237,146.07,158.97
11.68,0.8898776,22.74,178.86,133.82,0.15318617,2.68,150.23
17.04,2.2618315,2.89,89.72,75.44,4.944542,2.14,78.38
13.75,3.435934,1.4,66.8,53.63,5.0893345,4.02,54.73
8.52,3.4587116,0.63,56.58,44.58,1.0496864,0.85,44.28
35.56,0,14.24,697.26,459.34,8.372307,31.69,601
29.65,1.2687428,1.92,38.41,25.15,2.2276719,3.09,33.5
14.29,0,3.31,69.95,32.38,3.1455927,5.4,60.03
21.77,1.7512966,0.66,99.17,69.76,7.4475183,5.9,79.9
9.01,0,4.36,49.89,22.64,2.1912806,2.02,40
25.76,1.8747908,2.97,96.07,63.22,7.1130967,9.49,85.01
14.38,4.19652,2.86,110.95,86.95,6.6291075,1.6,85.39
19.08,0,12.48,286.85,209.9,2.7977824,2.88,256.57
17.66,2.1533613,9.27,102.14,75.79,1.2371694,1.34,74.51
19.85,1.9977299,1.91,47.23,39.19,2.5708609,2.52,42.68
21.53,1.7938709,5.09,123.15,106.97,3.589782,7.96,119.08
42.17,0,1.19,70.215,41.02,14.152587,9.56,61.99
26.55,1.114065,1.35,167.23,106.48,9.932974,73.84,152.14
14.23,1.8331805,3.09,58.05,40.06,2.2258842,1.33,51.79
19.03,2.0266979,-1.08,107.78,77.23,2.6092634,6.81,98.74
8.35,0,0.93,47.82,29.39,2.5358944,1.63,39.25
17.78,1.9671283,4.32,83.29,65.98,3.2591083,2.25,75.21
-77.71,0.5873715,-6.4,41.895,29.9,2.5209634,0.91,32.64
7.56,4.5584044,1.01,16.97,11.481,0.6986579,1.02,13.38
26.1,1.3881658,1.81,64.0599,37.43,3.6687026,5.46,55.85
200.08,0,1.25,286.81,138.26,9.861594,30.8,250.1
9.72,3.1228786,1.17,55.08,23.85,1.2810479,1.01,27.91
13.12,0,-6.5,43.74,24.41,4.703259,4.51,26.38
26.34,0.8101539,-1.18,42.04,31.42,3.7076392,1.81,36.61
43.47,1.24533,-1.28,17.29,12,1.5518167,0.85,15.65
44.03,1.2269939,-1.28,17.7,12.35,1.5718216,0.86,15.85
21.65,2.6537917,11.39,159.64,124.18,4.091698,2.75,145.29
18.73,3.6208732,1.39,45.73,34.22,2.7288198,3.02,33.9
24.9,1.2189548,2.51,68.83,50.35,3.0549932,8.91,62.49
19.57,3.3780859,1.02,27.76,21.93,2.2361343,1.82,22.51
105.96,1.4771049,-2.32,39.6,22.985,4.6976447,1.44,25.43
15.04,3.0020285,2.02,53,37.7924,0.74603415,9.1,47.23
20.65,2.018503,18.73,157.1499,109.27,3.8525908,3.09,136.89
19.96,1.6678249,4.92,108.91,83.17,4.031728,2.44,96.2
24.4,1.3030859,11.47,349.18,231.98,2.209576,7.96,324.01
15.35,0,2.78,61.48,46.96,3.2066104,2.35,56.01
17.78,1.4195584,-2.23,29.78,14.52,0.9933021,6.73,24
17.01,2.415766,4.1,70.48,51.67,0.99837583,2.34,60.38
82.08,0.26223776,2.57,249.27,95.17,20.094294,20.39,217.52
21.91,0,10.73,279.23,169.43,3.1934319,34.12,252.22
195.63,4.4081864,-0.75,78.09,57.2,6.044895,,68.47
15.27,3.1838684,4.79,86.71,65.32,1.5327156,6.66,75.91
34,5.4436197,1.66,61.36,47.14,2.6159565,4.03,54.4
18.81,1.5551463,2.2,53.14,40.01,5.2561646,3.56,46.84
15.72,1.455816,4.75,79.69,61.93,1.28693,3.07,66.98
18.57,2.1514556,7.07,131.1316,88.47,1.741522,5.54,111.95
21.6,1.4401833,7.24,212.8,145.38,1.8652664,4.39,174.51
14.05,3.0723782,1.79,48.295,32.07,0.7872792,2.34,32.88
27.49,3.0892801,2.26,73.1,54.2,7.248487,11.77,61.86
