Input1,Input2,Input3,Output
8135,261,2511,1973.03
9577,313,2356,1974.03
11220,337,2799,1975.03
13700,408,3624,1976.03
16982,523,4036,1977.03
18707,521,4155,1978.03
20758,590,4669,1979.03
24993,671,4691,1980.03
28899,744,5318,1981.03
35473,865,5414,1982.03
40043,1019,5590,1983.03
43885,1086,6173,1984.03
52406,1109,6550,1985.03
60173,1192,6549,1986.03
67379,1479,7267,1987.03
72921,1804,7636,1988.03
75526,1760,7376,1989.03
79830,1985,6940,1990.03
80029,2124,7195,1991.03
80794,2118,1578,1992.03
86479,2292,1460,1993.03
93459,2194,1435,1994.03
99350,2196,1610,1995.03
103981,2458,1783,1996.03
108313,2762,2047,1997.03
110937,3176,1933,1998.03
112922,4178,2414,1999.03
122999,3958,2481,2000.03
137293,4602,2652,2001.03
145244,3997,2854,2002.03
149909,4957,2778,2003.03
155151,4866,3002,2004.03
167757,5756,2985,2005.03
179318,6103,3266,2006.03
186829,6537,3434,2007.03
205638,6874,4043,2008.03
209490,7132,3725,2009.03
202044,8258,4035,2010.03
212673,8642,4402,2011.03
223632,8544,52848,2012.03
228783,7902,56894,2013.03
243200,8262,61192,2014.03
247212,9328,66343,2015.03
250813,10059,70872,2016.03
268684,10426,75264,2017.03
289592,9995,81527,2018.03
5213,11717,86380,1972.03
6012,12375,90369,1973.03
7042,1060,99028,1974.03
7681,1314,99222,1975.03
8577,1606,99283,1976.03
10509,1872,103741,1977.03
11548,2104,104863,1978.03
12817,2434,110076,1979.03
14803,2268,119813,1980.03
17069,2503,125030,1981.03
20903,2878,132780,1982.03
23708,3450,141230,1983.03
26779,4844,152818,1984.03
30736,5377,14967,1985.03
35355,6040,16226,1986.03
40456,7808,17096,1987.03
43965,8840,18159,1988.03
48151,9622,16296,1989.03
51510,11185,17230,1990.03
54000,10896,17445,1991.03
54875,12037,16912,1992.03
57133,11524,18288,1993.03
62890,10107,19995,1994.03
67993,11113,19047,1995.03
72699,13842,20773,1996.03
76383,16247,21635,1997.03
79218,18088,24862,1998.03
80912,18692,21327,1999.03
86731,18160,22690,2000.03
92513,17154,21930,2001.03
99481,19339,22701,2002.03
103207,20665,25322,2003.03
109925,20966,26421,2004.03
117565,22479,339,2005.03
122723,26051,378,2006.03
128722,29221,396,2007.03
139927,30402,418,2008.03
140120,31995,415,2009.03
142987,34902,459,2010.03
148603,31655,456,2011.03
154990,26851,476,2012.03
157748,27571,501,2013.03
170587,29985,561,2014.03
177076,33296,577,2015.03
186785,36718,902,2016.03
199387,40768,996,2017.03
214741,44069,1321,2018.03
576,46956,1378,1972.03
659,51155,1196,1973.03
