Input,Output
2013.06,652.3395315
2014.06,697.3384027
2015.06,817.2256845
2016.06,956.9374148
2017.06,990.9369279
2018.06,981.8752692
2019.06,1075.830907
1971.06,26.84709863
1972.06,26.90756507
1973.06,33.53871781
1974.06,34.08291575
1975.06,33.39762945
1976.06,35.33255548
1977.06,41.15748904
1978.06,47.46615411
1979.06,53.14999931
1980.06,66.15028356
1981.06,72.70081438
1982.06,80.6219178
1983.06,90.15545958
1984.06,126.4353226
1985.06,150.4001877
1986.06,192.1623411
1987.06,219.3319274
1988.06,264.6616007
1989.06,283.426352
1990.06,332.222929
1991.06,357.238862
1992.06,383.6012617
1993.06,352.5616621
1994.06,396.4989949
1995.06,444.8300609
1996.06,484.5862604
1997.06,479.1295271
1998.06,520.8123728
1999.06,532.5837469
2000.06,530.7083667
2001.06,574.604794
2002.06,587.5285408
2003.06,568.8386786
2004.06,651.5899979
2005.06,664.5400234
2006.06,660.0673163
2007.06,686.8355404
2008.06,742.4402757
2009.06,700.2078324
2010.06,706.8457516
2011.06,717.6340595
2012.06,753.6972406
2013.06,730.9140502
2014.06,783.4626947
2015.06,876.6668042
2016.06,993.6287309
2017.06,1018.523428
2018.06,1007.573766
2019.06,1094.518294
1971.06,22.01807334
1972.06,24.85520394
1973.06,30.89319982
1974.06,33.34234675
1975.06,42.50846098
1976.06,37.51317121
1977.06,41.51425282
1978.06,32.63912634
1979.06,32.73612226
1980.06,28.15306514
1981.06,96.31694638
1982.06,96.97166883
1983.06,76.89351384
1984.06,101.7002198
1985.06,107.9079586
1986.06,144.4269216
1987.06,188.9722969
1988.06,239.50717
1989.06,264.7988556
1990.06,293.2647326
1991.06,321.0686124
1992.06,375.087579
1993.06,431.8207338
1994.06,407.4592391
1995.06,474.2547504
1996.06,589.3760529
1997.06,655.9067654
1998.06,745.3654879
1999.06,794.8643212
2000.06,958.3064221
2001.06,986.3903036
2002.06,1118.728177
2003.06,1232.12223
2004.06,1421.228072
2005.06,2090.767374
2006.06,2349.156904
2007.06,3142.212941
2008.06,3665.026416
2009.06,4175.194711
2010.06,5051.366023
2011.06,5422.220022
